Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
RDTR3,"6,30","8,11","1,37","0,000","0,00%","1,320","0,00","-1.919,75","0,00","-1.897,05","-219,41","0,00%","0,00%","0,00","0,00%","16,95%","0,00","497.092.000,00","0,00","0,00%"
TASA4,"22,50","8,21","51,17","1,220","0,00%","1,481","6,08","5,10","-4,44","6,69","6,29","23,93%","14,87%","1,62","33,74%","623,63%","81.290.500,00","42.269.000,00","18,13","19,24%"
TIET11,"17,44","8,21","3,78","3,461","6,15%","0,694","-43,14","4,05","-1,21","5,93","4,97","85,53%","42,17%","0,94","26,32%","46,03%","20.239.300,00","1.842.460.000,00","2,85","7,00%"
TIET3,"3,49","8,21","3,78","3,463","6,15%","0,694","-43,16","4,05","-1,21","5,93","4,97","85,53%","42,17%","0,94","26,32%","46,03%","422.616,00","1.842.460.000,00","2,85","7,00%"
EQTL3,"24,19","8,22","2,34","1,366","1,32%","0,554","4,12","4,94","-1,42","6,99","6,11","27,68%","19,27%","1,68","14,46%","28,44%","209.082.000,00","10.462.400.000,00","1,70","26,90%"
TIET4,"3,51","8,26","3,80","3,483","6,11%","0,698","-43,41","4,07","-1,21","5,95","4,99","85,53%","42,17%","0,94","26,32%","46,03%","1.228.750,00","1.842.460.000,00","2,85","7,00%"
PCAR5,"67,12","8,27","1,32","0,351","0,00%","0,338","-21,39","4,09","-0,96","4,19","2,86","8,60%","4,54%","0,95","13,29%","15,91%","0,00","13.695.000.000,00","0,67","6,85%"
CMIG3,"15,71","8,33","1,37","0,946","3,85%","0,441","4,14","5,13","-1,13","7,27","6,00","18,45%","11,36%","1,60","9,97%","16,39%","11.572.200,00","17.472.700.000,00","0,86","7,76%"
BALM4,"14,50","8,34","1,26","0,872","1,79%","0,662","2,14","7,44","3,87","6,77","5,85","11,72%","10,08%","2,05","11,01%","15,06%","32.815,50","113.079.000,00","0,17","10,94%"
TASA3,"22,90","8,35","52,08","1,241","0,00%","1,507","6,19","5,19","-4,52","6,78","6,37","23,93%","14,87%","1,62","33,74%","623,63%","3.591.820,00","42.269.000,00","18,13","19,24%"
CEPE5,"24,30","8,36","1,07","0,264","14,34%","0,159","16,33","2,57","-0,26","9,29","6,55","10,27%","3,16%","1,04","7,15%","12,75%","19.391,80","1.702.000.000,00","3,21","-45,20%"
CAML3,"10,42","8,36","1,40","0,541","5,74%","0,584","1,50","6,45","8,26","8,92","7,01","8,39%","6,47%","2,48","12,83%","16,70%","16.521.400,00","2.761.270.000,00","0,97","25,39%"
RNEW3,"4,53","8,42","-0,17","2,681","0,00%","0,082","0,69","-2,83","-0,08","-24,02","-29,67","-94,71%","31,82%","1,38","-3,03%","-2,03%","133.250,00","-1.107.640.000,00","-1,32","-44,35%"
AGIN3,"5,29","8,46","1,23","1,816","0,00%","0,565","1,29","10,92","3,55","14,68","14,68","16,63%","21,83%","2,72","5,59%","14,56%","0,00","1.028.210.000,00","0,55","44,17%"
CEEB3,"39,35","8,46","1,69","0,914","2,69%","0,493","15,42","5,28","-0,97","9,03","6,98","17,32%","10,80%","1,19","10,20%","19,95%","48.279,40","6.109.000.000,00","1,28","12,25%"
AELP3,"1,93","8,49","-200,57","-0,062","0,00%","5,216","0,00","-12,58","0,00","-11,94","-11,98","0,49%","-0,73%","0,00","0,00%","-2.363,83%","0,00","-904.000,00","0,00","1,18%"
BMGB4,"4,79","8,49","0,68","0,000","3,04%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","7,97%","7.750.500,00","4.128.230.000,00","0,00","24,14%"
CESP5,"44,84","8,49","2,04","7,660","5,79%","1,009","215,12","23,84","-2,36","25,64","15,59","32,13%","90,17%","1,06","4,45%","23,99%","36.221,80","7.206.210.000,00","0,25","3,46%"
ELET3,"34,38","8,51","0,73","1,855","8,89%","0,301","2,87","19,91","-0,90","31,04","18,39","9,32%","21,96%","1,71","1,72%","8,63%","270.941.000,00","73.478.300.000,00","0,65","-16,35%"
CPSL3,"38,02","8,56","3,49","0,787","0,00%","2,043","7,39","5,79","11,84","5,48","5,48","13,59%","9,20%","1,89","57,15%","40,82%","0,00","1.634.730.000,00","0,17","16,21%"
ELET6,"34,68","8,58","0,74","1,871","9,70%","0,304","2,90","20,09","-0,91","31,22","18,50","9,32%","21,96%","1,71","1,72%","8,63%","121.527.000,00","73.478.300.000,00","0,65","-16,35%"
ENGI4,"6,98","8,62","1,90","0,623","3,95%","0,278","10,62","4,45","-0,52","9,44","6,59","13,99%","7,91%","1,10","7,67%","22,09%","554.189,00","6.648.740.000,00","3,04","15,77%"
BEEF3,"11,02","8,69","7,21","0,312","9,33%","0,358","1,24","3,32","-1,26","6,16","5,27","9,40%","3,59%","1,76","22,29%","82,98%","115.780.000,00","840.072.000,00","13,78","19,06%"
TMGC12,"550,00","8,71","1,12","0,800","0,00%","0,770","4,66","12,27","8,22","10,94","10,94","6,52%","9,18%","1,69","8,73%","12,83%","0,00","1.167.010.000,00","0,05","10,49%"
ACES4,"94,73","8,74","2,27","1,683","0,00%","1,430","6,37","7,16","20,65","6,50","6,50","23,52%","19,27%","2,05","26,90%","25,95%","0,00","3.105.800.000,00","0,09","13,34%"
CAMB3,"4,56","8,76","1,98","1,232","0,00%","0,684","-38,91","22,38","-2,42","29,97","17,74","5,50%","14,07%","0,95","3,33%","22,61%","238.648,00","97.343.000,00","0,74","-12,22%"
ACES3,"95,27","8,79","2,28","1,693","0,00%","1,438","6,40","7,20","20,77","6,54","6,54","23,52%","19,27%","2,05","26,90%","25,95%","0,00","3.105.800.000,00","0,09","13,34%"
CGRA4,"31,10","8,83","0,99","1,393","4,07%","0,699","2,41","12,92","3,52","9,18","7,09","10,77%","15,78%","2,43","7,72%","11,23%","766.007,00","632.411.000,00","0,00","4,07%"
PCAR4,"72,11","8,88","1,41","0,378","0,00%","0,363","-22,98","4,39","-1,03","4,49","3,07","8,60%","4,54%","0,95","13,29%","15,91%","0,00","13.695.000.000,00","0,67","6,85%"
CZRS4,"2,49","8,89","0,30","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","3,34%","0,00","1.145.670.000,00","0,00","14,44%"
PSSA3,"46,41","8,89","1,67","0,806","6,03%","0,408","3,47","1,01","-5,71","0,31","0,30","79,62%","9,07%","1,21","56,48%","18,83%","50.144.500,00","8.967.000.000,00","0,00","3,61%"
CGRA3,"31,35","8,90","1,00","1,404","4,04%","0,704","2,43","13,03","3,55","9,29","7,17","10,77%","15,78%","2,43","7,72%","11,23%","53.724,10","632.411.000,00","0,00","4,07%"
AFLU5,"5,03","8,93","2,14","2,911","0,00%","1,875","9,63","8,32","11,92","7,38","7,05","34,98%","32,59%","3,27","31,18%","23,93%","0,00","44.270.000,00","0,00","8,61%"
VIVO3,"65,79","8,99","2,69","1,366","0,00%","1,175","-29,21","6,21","-4,74","6,65","6,65","22,01%","15,20%","0,89","23,92%","29,88%","0,00","9.816.290.000,00","0,35","13,06%"
CNFB4,"5,99","9,01","1,57","1,511","0,00%","0,872","3,47","8,27","53,95","10,05","7,85","18,27%","16,77%","2,20","12,01%","17,39%","0,00","1.552.470.000,00","0,47","-10,61%"
ALLD3,"16,81","9,07","1,34","0,322","0,00%","0,409","2,16","5,77","10,94","6,00","4,91","5,58%","3,55%","1,35","16,99%","14,83%","425.995,00","1.130.590.000,00","0,39","27,25%"
CRPG6,"57,98","9,12","2,31","2,300","1,52%","1,582","2,49","13,54","3,39","10,37","8,75","16,99%","25,21%","5,27","19,63%","25,34%","74.274,00","727.710.000,00","0,01","8,96%"
